Day,Strand/Standard,Title,Concepts,Starter,Description
1,"Strand 1 / Standard 1",Introduction to Advanced Programming,"Object-oriented principles, advanced concepts","Code Critique: Review a simple program and suggest advanced improvements.","Students will explore advanced programming concepts, building on prior knowledge from Computer Programming 2. They will discuss object-oriented principles in their chosen language (Java, C++, Python, or C#). The submittable artifact is a written analysis of a program’s potential improvements, saved as a text file."
2,"Strand 1 / Standard 1",Review of OOP Basics,"Classes, objects, encapsulation","OOP Match: Match OOP terms to examples in a chosen language.","The lesson reviews object-oriented programming (OOP) basics like classes and encapsulation in a student-chosen language using an IDE. Students will analyze a class structure. The submittable artifact is a source file (e.g., .java, .cpp, .py, .cs) defining a simple class."
3,"Strand 1 / Standard 2",Inheritance,"Inheritance, polymorphism","Inheritance Puzzle: Draw an inheritance hierarchy for a game (e.g., characters).","Students will learn inheritance and polymorphism in their chosen language, implementing a class hierarchy in an IDE. The focus is on code reuse. The submittable artifact is a source file with an inheritance hierarchy."
4,"Strand 1 / Standard 2",Interfaces and Abstract Classes,"Interfaces, abstract methods","Interface Guess: Predict the role of an interface in a sample program.","The lesson covers interfaces and abstract classes in a chosen language, emphasizing abstraction. Students will implement an interface. The submittable artifact is a source file using an interface or abstract class."
5,"Strand 1 / Standard 3",Static vs Dynamic Arrays,"Static arrays, dynamic arrays (ArrayList, vector)","Array Swap: Compare static and dynamic array uses in a scenario.","Students will compare static and dynamic arrays in their chosen language, coding a dynamic array operation in an IDE. The focus is on flexibility. The submittable artifact is a source file manipulating a dynamic array."
6,"Strand 1 / Standard 3",Array Operations,"Traversal, searching, sorting","Array Challenge: Plan a search algorithm for an array on paper.","The lesson explores array operations (traversal, searching, sorting) in a chosen language. Students will implement a search algorithm in an IDE. The submittable artifact is a source file with a search function."
7,"Strand 1 / Standard 4",Stacks,"Stack operations, LIFO","Stack Simulation: Use paper cups to simulate a stack (push/pop).","Students will learn stack data structures (Last-In-First-Out) in their chosen language, implementing a stack in an IDE. The focus is on stack operations. The submittable artifact is a source file implementing a stack."
8,"Strand 1 / Standard 4",Queues,"Queue operations, FIFO","Queue Line: Simulate a queue with students lining up (First-In-First-Out).","The lesson covers queue data structures (First-In-First-Out) in a chosen language. Students will implement a queue in an IDE. The submittable artifact is a source file implementing a queue."
9,"Strand 1 / Performance",Data Structure Mini Project,"Arrays, stacks, queues","Data Structure Pitch: Present a program idea using arrays or stacks.","Students will create a program in their chosen language combining arrays, stacks, and queues. The focus is on integrating data structures. The submittable artifact is a source file and a project plan."
10,"Strand 2 / Standard 1",Linked Lists,"Nodes, linked list operations","Linked List Chain: Build a paper chain to represent a linked list.","Students will learn linked list structures in their chosen language, implementing basic operations (add, remove) in an IDE. The submittable artifact is a source file with a linked list implementation."
