Day,Strand/Standard,Title,Concepts,Starter,Description
1,"Strand 1 / Standard 1",Introduction to Static Arrays,"Declare, initialize static arrays","Think of a way to store multiple numbers, like test scores. How would you do it without arrays? Now, how can arrays help?","Students will learn to declare and initialize static arrays in their chosen language (Java, C++, Python, or C#) using a language-appropriate IDE. The focus is on array syntax and structure. The submittable artifact is a source file (e.g., .java, .cpp, .py, .cs) creating and printing a static array of test scores."
2,"Strand 1 / Standard 1","Accessing and Modifying Arrays","Accessing elements by index, modifying elements","If you have an array of numbers, how do you change the third number?","Students will practice accessing and modifying array elements by index in their chosen language’s IDE. The focus is on array manipulation techniques. The submittable artifact is a source file modifying specific array elements."
3,"Strand 1 / Standard 1","Input and Output with Arrays","Reading input into arrays, printing arrays","How would you ask the user to enter 5 numbers and store them in an array?","The lesson covers reading user input into arrays and displaying their contents in a chosen language (Java, C++, Python, or C#). Students will create a program to handle array I/O. The submittable artifact is a source file accepting and outputting an array of user inputs."
4,"Strand 1 / Standard 1","Iterating Through Arrays","Using loops to traverse arrays","Why might you need to go through each element of an array one by one?","Students will explore loop-based array iteration in their chosen language, using for and while loops in an IDE. The focus is on processing array data efficiently. The submittable artifact is a source file that iterates and processes an array."
5,"Strand 1 / Standard 1",Sorting Arrays,"Basic sorting techniques, like bubble sort","How would you arrange a list of numbers in order from smallest to largest?","The lesson introduces sorting algorithms like bubble sort in a student-chosen language (Java, C++, Python, or C#). Students will implement a sorting algorithm in their IDE. The submittable artifact is a source file that sorts an array."
6,"Strand 1 / Standard 2",Introduction to Dynamic Arrays,"Declare dynamic arrays, add elements","What if you don't know how many elements you need in advance? How can dynamic arrays help?","Students will learn about dynamic arrays (e.g., ArrayList in Java, vector in C++, list in Python, List in C#) and their flexibility in their chosen language’s IDE. The focus is on dynamic data structures. The submittable artifact is a source file creating and adding elements to a dynamic array."
7,"Strand 1 / Standard 2","Modifying Dynamic Arrays","Adding, removing elements, accessing elements","How would you add a new item to a dynamic list, like adding a new friend to a contact list?","The lesson covers adding and removing elements in dynamic arrays in a chosen language, with practical examples in an IDE. Students will modify a dynamic array. The submittable artifact is a source file performing add/remove operations."
8,"Strand 1 / Standard 2","Operations on Dynamic Arrays","Search, iterate dynamic arrays","Why might you need to search for an element in a dynamic array?","Students will practice searching and iterating dynamic arrays in their chosen language, focusing on efficiency in an IDE. The focus is on advanced array operations. The submittable artifact is a source file that searches a dynamic array."
9,"Strand 1 / Standard 3",Introduction to Strings,"Declare, initialize strings","How is a string like a sequence of characters, like your name?","The lesson introduces strings as sequences of characters in a student-chosen language (Java, C++, Python, or C#), covering declaration and initialization in an IDE. Students will manipulate strings in code. The submittable artifact is a source file creating and printing strings."
10,"Strand 1 / Standard 3","String Comparison and Length","Compare strings, find length","How would you check if two words are the same, like ""cat"" and ""dog""?","Students will learn to compare strings and find their lengths in their chosen language’s IDE, using string functions. The focus is on string properties. The submittable artifact is a source file comparing two strings and computing their lengths."
11,"Strand 1 / Standard 3","String Operations: Copy and Concatenate","Copy strings, concatenate strings","How would you combine your first and last name into one string?","The lesson covers string copying and concatenation in a chosen language, with hands-on exercises in an IDE. Students will write code to combine strings. The submittable artifact is a source file that copies and concatenates strings."
