Day,Strand/Standard,Title,Concepts,Starter,Description
1,"Strand 1 / Standard 1",Introduction to Game Development,"Game genres, interactive entertainment","Game Genre Gallery: Students walk through posters of game genres (e.g., platformer, RPG) and guess their features.","Students will explore the history and types of video games, focusing on genres and interactive elements. They will discuss what makes games engaging using examples. The submittable artifact is a short written reflection on a favorite game genre, saved as a text file."
2,"Strand 1 / Standard 1",Game Development Process,"Game design, development cycle, roles","Role Play: Students act out roles (designer, programmer) in a mock game studio meeting.","The lesson introduces the game development process, including design, programming, and testing phases, with emphasis on team roles. Students will map out a simple game idea. The submittable artifact is a flowchart of the game development process, saved as a diagram."
3,"Strand 1 / Standard 2",Game Design Document Basics,"Game design document (GDD), core mechanics","GDD Brainstorm: Students pitch a game idea in 30 seconds to a partner.","Students will learn the components of a game design document (GDD), focusing on core mechanics and objectives. They will draft a basic GDD outline in Processing. The submittable artifact is a GDD outline for a simple game, saved as a text file."
4,"Strand 1 / Standard 2",Storyboarding for Games,"Storyboards, visual planning","Storyboard Sketch: Draw a quick scene sequence for a game idea on paper.","The lesson covers storyboarding techniques for planning game narratives or levels. Students will create a storyboard for a game scene in Processing. The submittable artifact is a storyboard sketch, saved as an image file."
5,"Strand 1 / Standard 3",Introduction to Processing for Games,"Processing setup, draw loop, coordinates","Canvas Challenge: Predict what a simple Processing sketch (e.g., ellipse) will draw.","Students will set up the Processing environment and learn the draw loop and coordinate system for game development. They will create a basic sketch. The submittable artifact is a .pde file displaying a static shape on the canvas."
6,"Strand 1 / Standard 3",Drawing Game Assets,"Shapes, colors, Processing graphics","Shape Art: Create a game-like object (e.g., a spaceship) using basic shapes in Processing.","The focus is on drawing 2D game assets (e.g., sprites) using Processing’s graphics functions (rect, ellipse, fill). Students will design a simple asset. The submittable artifact is a .pde file displaying a custom game asset."
7,"Strand 2 / Standard 1",Game Loops and Updates,"Game loop, frame rate, animation basics","Frame Rate Guess: Watch a Processing sketch and estimate its frame rate.","Students will explore the game loop concept in Processing, learning how frame rate affects animations. They will create a moving shape. The submittable artifact is a .pde file with a shape moving across the screen."
8,"Strand 2 / Standard 1",User Input in Games,"Keyboard input, mouse input","Input Hunt: Identify inputs in a sample Processing game (e.g., key presses).","The lesson introduces handling keyboard and mouse inputs in Processing for game interactivity. Students will code a sketch responding to input. The submittable artifact is a .pde file that moves a shape with WASD keys."
9,"Strand 2 / Standard 2",Game Physics Basics,"Movement, velocity, boundaries","Bounce Brainstorm: Discuss how a ball bounces in a game and why boundaries matter.","Students will learn basic game physics (velocity, boundaries) in Processing, coding a moving object that stays within the canvas. The submittable artifact is a .pde file with a shape that moves and respects canvas edges."
10,"Strand 2 / Standard 2",Collision Detection,"Bounding box collision, hit detection","Collision Guess: Predict if two shapes in a Processing sketch will collide.","The lesson covers collision detection using bounding boxes in Processing. Students will code a sketch with two objects that detect collisions. The submittable artifact is a .pde file demonstrating collision detection."
